Period,Sender,Receiver,Group,OthersContribution,OthersPercentContribution,Points
10,3,13,2,20,100,0
10,3,15,2,20,100,0
10,4,3,2,17,85,-2
10,4,13,2,20,100,0
10,4,15,2,20,100,0
10,5,2,1,5,25,0
10,5,8,1,15,75,0
10,5,14,1,20,100,0
10,6,1,3,20,100,0
10,6,18,3,15,75,0
10,6,19,3,10,50,0
10,7,16,4,0,0,0
10,7,22,4,4,20,0
10,7,23,4,20,100,0
10,8,2,1,5,25,-1
10,8,5,1,0,0,-2
10,8,14,1,20,100,0
10,9,11,5,18,90,0
10,9,12,5,13,65,0
10,9,21,5,10,50,0
10,10,17,6,0,0,-3
10,10,20,6,20,100,0
10,10,24,6,20,100,0
10,11,9,5,11,55,0
10,11,12,5,13,65,0
10,11,21,5,10,50,0
10,12,9,5,11,55,0
10,12,11,5,18,90,0
10,12,21,5,10,50,0
10,13,3,2,17,85,0
10,13,4,2,20,100,0
10,13,15,2,20,100,0
10,14,2,1,5,25,-2
10,14,5,1,0,0,-5
10,14,8,1,15,75,0
10,15,3,2,17,85,0
10,15,4,2,20,100,0
10,15,13,2,20,100,0
10,16,7,4,15,75,0
10,16,22,4,4,20,0
10,16,23,4,20,100,0
10,17,10,6,20,100,0
10,17,20,6,20,100,0
10,17,24,6,20,100,0
10,18,1,3,20,100,0
10,18,6,3,10,50,0
10,18,19,3,10,50,0
10,19,1,3,20,100,0
10,19,6,3,10,50,-1
10,19,18,3,15,75,0
10,20,10,6,20,100,0
10,20,17,6,0,0,0
10,20,24,6,20,100,0
10,21,9,5,11,55,0
10,21,11,5,18,90,0
10,21,12,5,13,65,0
10,22,7,4,15,75,0
10,22,16,4,0,0,0
10,22,23,4,20,100,0
10,23,7,4,15,75,0
10,23,16,4,0,0,-3
10,23,22,4,4,20,0
10,24,10,6,20,100,0
10,24,17,6,0,0,-5
10,24,20,6,20,100,0
11,1,3,6,20,100,0
11,1,8,6,16,80,-1
11,1,16,6,20,100,0
11,2,9,4,13,65,0
11,2,12,4,13,65,0
11,2,19,4,10,50,0
11,3,1,6,20,100,0
11,3,8,6,16,80,-1
11,3,16,6,20,100,0
11,4,6,5,10,50,-3
11,4,11,5,18,90,0
11,4,14,5,20,100,0
11,5,7,3,10,50,0
11,5,21,3,20,100,0
11,5,22,3,6,30,0
11,6,4,5,20,100,0
11,6,11,5,18,90,0
11,6,14,5,20,100,0
11,7,5,3,5,25,-1
11,7,21,3,20,100,0
11,7,22,3,6,30,-1
11,8,1,6,20,100,0
11,8,3,6,20,100,0
11,8,16,6,20,100,0
11,9,2,4,10,50,0
11,9,12,4,13,65,0
11,9,19,4,10,50,0
11,10,15,1,20,100,0
11,10,20,1,20,100,0
11,10,23,1,0,0,-2
11,11,4,5,20,100,0
11,11,6,5,10,50,-2
11,11,14,5,20,100,0
11,12,2,4,10,50,0
11,12,9,4,13,65,0
11,12,19,4,10,50,0
11,13,17,2,0,0,-2
11,13,18,2,15,75,0
11,13,24,2,20,100,0
11,14,4,5,20,100,0
11,14,6,5,10,50,0
11,14,11,5,18,90,0
11,15,10,1,20,100,0
11,15,20,1,20,100,0
11,15,23,1,0,0,0
11,16,1,6,20,100,0
11,16,3,6,20,100,0
11,16,8,6,16,80,0
11,17,13,2,18,90,0
11,17,18,2,15,75,0
11,17,24,2,20,100,0
11,18,13,2,18,90,0
11,18,17,2,0,0,0
11,18,24,2,20,100,0
11,19,2,4,10,50,0
11,19,9,4,13,65,0
